,p0,m0,p1,m1,p2,m2,p3,m3
5192,30459.4054364,16.5759487072,244445.532378,138.016855943,27281.9819637,15.2772108448,7800.01006557,5.4666308188
5193,29958.013156,16.419526743,238078.073128,135.951431989,26431.8695912,15.0033886333,7231.32805891,5.06807048906
5194,30412.0334676,16.5612173325,243682.239,137.770498064,27569.992654,15.3691407367,7507.44602957,5.26158754806
5195,30462.4135202,16.5768838063,244451.119405,138.018657971,27428.9422533,15.3241710268,7833.20817488,5.48989768716
5196,30108.5526531,16.4666085948,239790.430513,136.509188861,26688.1064229,15.0863186976,7264.02816705,5.09098833371
5197,30452.8408006,16.5739078734,244130.247388,137.915135867,27633.5755984,15.3893798022,7540.33182424,5.28463553096
5198,30575.105772,16.6118870756,245722.553556,138.428283799,27580.1616735,15.3723789851,7866.48713243,5.51322121796
5199,30153.601348,16.4806780982,240291.931897,136.672214691,26950.7980621,15.1709809812,7296.7985934,5.11395546082
5200,30557.0919018,16.6062955176,245297.301996,138.291379582,27709.892718,15.4136457818,7573.31587544,5.30775237688
5201,30644.9799763,16.6335628836,246494.806395,138.676640276,27742.2470488,15.4239245467,7899.86473576,5.53661388457
5202,30270.2861864,16.5170789428,241589.018642,137.093187002,27226.2248237,15.2593654581,7329.64595516,5.13697650805
5203,30641.7971216,16.6325759851,246237.556243,138.593945857,27799.9543507,15.4422449712,7606.33272431,5.33089220901
5204,30746.0251535,16.664870873,247620.534368,139.038075837,27903.713347,15.4751443245,7933.25712379,5.56001691303
5205,30355.3213679,16.5435684844,242543.090234,137.402211658,27444.0504623,15.3289925917,7362.50965096,5.16000900298
5206,30739.3139496,16.6627928316,247330.477827,138.94501555,27905.1322484,15.4755938566,7639.40706571,5.35407233474
5207,30833.9464699,16.6920766982,248604.028121,139.353266872,28044.4029269,15.5196693803,7966.72895062,5.5834756161
5208,30458.3559334,16.5756224472,243698.513982,137.775754382,27531.9402586,15.357018662,7395.45195449,5.18309659007
5209,30834.6079754,16.6922812643,248397.16933,139.287017125,28035.8549381,15.5169668848,7672.51604605,5.37727673714
5210,30937.064953,16.7239427411,249752.460892,139.720640522,28150.6076272,15.5532170797,8000.2075471,5.60693906368
5211,30566.4554317,16.609202161,244901.979857,138.164019143,27680.8596109,15.4044177434,7428.38936261,5.20618074622
5212,30947.4650604,16.727154093,249649.257024,139.687656215,28160.7894534,15.5564304276,7705.65965258,5.40050540728
5213,31043.3576053,16.7567421178,250933.306981,140.097627286,28287.5365699,15.596389599,8033.74665469,5.63044492042
5214,30679.4804289,16.644257522,246163.107759,138.570007068,27805.0664941,15.4438671405,7461.39281928,5.22931119244
5215,31235.4409737,16.8158928135,252708.405755,140.662900582,28493.8784051,15.6612779791,7738.83106845,5.42375356758
5216,31274.892962,16.8280224894,253431.711489,140.892745832,28544.4876102,15.6771621854,8067.28488026,5.653950159
